dataset,seed,N,d_c,d_y,anom_pct,PNKIF,PNKIF_SNN,ROCOD,IF
cardio_odds,42,1831,5,16,9.612233752048061,0.7492687448503158,0.7293978302664104,0.7237280280142817,0.9397830266410326
cardio_odds,123,1831,5,16,9.612233752048061,0.7281859379291404,0.7429243339741829,0.7237280280142817,0.9528700906344412
cardio_odds,456,1831,5,16,9.612233752048061,0.726788656962373,0.7253124141719308,0.7237280280142817,0.9580403735237573
cardio_odds,789,1831,5,16,9.612233752048061,0.7221058775061796,0.7351895083768195,0.7237280280142817,0.9433534743202416
cardio_odds,1011,1831,5,16,9.612233752048061,0.7797960725075529,0.7014556440538313,0.7237280280142817,0.9485409228234002
ionosphere_odds,42,351,8,25,35.8974358974359,0.8192945326278659,0.8257848324514991,0.8951322751322752,0.8143562610229277
ionosphere_odds,123,351,8,25,35.8974358974359,0.8256084656084657,0.8255026455026454,0.8951322751322752,0.8253968253968254
ionosphere_odds,456,351,8,25,35.8974358974359,0.825432098765432,0.8250440917107584,0.8951322751322752,0.823668430335097
ionosphere_odds,789,351,8,25,35.8974358974359,0.8244091710758377,0.8226807760141094,0.8951322751322752,0.8224338624338624
ionosphere_odds,1011,351,8,25,35.8974358974359,0.8216225749559083,0.8211992945326279,0.8951322751322752,0.814567901234568
arrhythmia_odds,42,452,50,224,14.601769911504425,0.7243680326581882,0.698500549536819,0.6586591301617208,0.7900769351546554
arrhythmia_odds,123,452,50,224,14.601769911504425,0.7158894645941278,0.6855864342910976,0.6586591301617208,0.7912545140524415
arrhythmia_odds,456,452,50,224,14.601769911504425,0.727429737792432,0.7424634950541685,0.6586591301617208,0.7948265033757262
arrhythmia_odds,789,452,50,224,14.601769911504425,0.7216203485633538,0.7443083686607004,0.6586591301617208,0.7983592400690845
arrhythmia_odds,1011,452,50,224,14.601769911504425,0.7368111163447951,0.7359868111163448,0.6586591301617208,0.7798319987439158
pima_odds,42,768,3,5,34.895833333333336,0.5156791044776119,0.49734328358208957,0.5510485074626865,0.6110820895522387
pima_odds,123,768,3,5,34.895833333333336,0.5150597014925373,0.5109253731343284,0.5510485074626865,0.6086194029850746
pima_odds,456,768,3,5,34.895833333333336,0.5043208955223881,0.5164925373134328,0.5510485074626865,0.5944328358208956
pima_odds,789,768,3,5,34.895833333333336,0.49232835820895526,0.5132537313432836,0.5510485074626865,0.5821641791044776
pima_odds,1011,768,3,5,34.895833333333336,0.5086119402985074,0.5027985074626865,0.5510485074626865,0.6215970149253731
vowels_odds,42,1456,3,9,3.434065934065934,0.8291038406827881,0.8322190611664295,0.8224039829302987,0.6974964438122333
vowels_odds,123,1456,3,9,3.434065934065934,0.8340113798008535,0.8315931721194879,0.8224039829302987,0.7051066856330014
vowels_odds,456,1456,3,9,3.434065934065934,0.8381223328591749,0.8118349928876245,0.8224039829302987,0.7383926031294452
vowels_odds,789,1456,3,9,3.434065934065934,0.8236415362731152,0.8198719772403983,0.8224039829302987,0.727724039829303
vowels_odds,1011,1456,3,9,3.434065934065934,0.8178378378378378,0.802972972972973,0.8224039829302987,0.7338264580369843
wbc_odds,42,378,5,25,5.555555555555555,0.8264639189008937,0.8344671201814059,0.8863545418167267,0.9347739095638256
wbc_odds,123,378,5,25,5.555555555555555,0.8380685607576365,0.8352674403094571,0.8863545418167267,0.9426437241563292
wbc_odds,456,378,5,25,5.555555555555555,0.8109910630919035,0.8396692010137388,0.8863545418167267,0.9338402027477657
wbc_odds,789,378,5,25,5.555555555555555,0.8013872215552887,0.8362011471255169,0.8863545418167267,0.9290382819794585
wbc_odds,1011,378,5,25,5.555555555555555,0.8068560757636387,0.8288648792850474,0.8863545418167267,0.9286381219154329
glass_dami,42,214,3,4,4.205607476635514,0.7024390243902439,0.734959349593496,0.8834688346883469,0.7631436314363145
glass_dami,123,214,3,4,4.205607476635514,0.7051490514905149,0.7127371273712737,0.8834688346883469,0.7653116531165312
glass_dami,456,214,3,4,4.205607476635514,0.7208672086720866,0.6623306233062332,0.8834688346883469,0.7604336043360433
glass_dami,789,214,3,4,4.205607476635514,0.7495934959349593,0.6563685636856369,0.8834688346883469,0.7696476964769648
glass_dami,1011,214,3,4,4.205607476635514,0.6747967479674797,0.6937669376693767,0.8834688346883469,0.7685636856368563
ionosphere_dami,42,351,8,24,35.8974358974359,0.8022574955908289,0.7988359788359788,0.9072663139329806,0.8119929453262786
ionosphere_dami,123,351,8,24,35.8974358974359,0.7971781305114638,0.7954144620811288,0.9072663139329806,0.8175661375661375
ionosphere_dami,456,351,8,24,35.8974358974359,0.7953439153439152,0.8011287477954144,0.9072663139329806,0.8196472663139329
ionosphere_dami,789,351,8,24,35.8974358974359,0.8015873015873016,0.8040211640211641,0.9072663139329806,0.8215873015873015
ionosphere_dami,1011,351,8,24,35.8974358974359,0.7926631393298061,0.8065255731922397,0.9072663139329806,0.8145326278659613
heartdisease_dami,42,270,4,9,44.44444444444444,0.6281111111111111,0.6327777777777778,0.5442500000000001,0.7229444444444445
heartdisease_dami,123,270,4,9,44.44444444444444,0.644888888888889,0.6258333333333332,0.5442500000000001,0.7334444444444445
heartdisease_dami,456,270,4,9,44.44444444444444,0.6387777777777779,0.6199444444444444,0.5442500000000001,0.7276666666666667
heartdisease_dami,789,270,4,9,44.44444444444444,0.6189444444444444,0.6343333333333334,0.5442500000000001,0.7228888888888889
heartdisease_dami,1011,270,4,9,44.44444444444444,0.6363333333333333,0.6218333333333333,0.5442500000000001,0.7167777777777777
