dataset,method,n_runs,auroc_mean,auroc_std,auprc_mean,auprc_std,p_at_k_mean,p_at_k_std,runtime_mean
adult_original,IF,5,0.6119682,0.007566281860993525,0.41768140000000004,0.01309553027945031,0.9860000000000001,0.015165750888103114,0.3686
adult_original,IF_concat,5,0.5241294,0.016731622494546065,0.296241,0.01764496831960885,0.5780000000000001,0.12872451204024818,0.3574
adult_original,DIF,5,0.5963040000000001,0.0022891547566732985,0.3602304,0.004212745280692877,1.0,0.0,2.7337999999999996
adult_original,DIF_concat,5,0.5145786,0.00362618557164411,0.3029778,0.005642158868731004,1.0,0.0,2.6838
adult_original,LOF,5,0.522686,0.0,0.256033,0.0,0.1,0.0,5.8468
adult_original,QCAD,5,0.375379,0.0,0.195477,0.0,0.12,0.0,4.3666
adult_original,ROCOD,5,0.604976,0.0,0.397094,0.0,1.0,0.0,3.2946
adult_original,PNKDIF,5,0.6110488000000001,0.002814851274934447,0.3434628,0.0023566088347453922,0.4760000000000001,0.13649175799292793,5.854400000000001
adult_original,PNKDIF_uniform,5,0.6133419999999999,0.0017286765168764184,0.34662000000000004,0.002835976727690114,0.514,0.10597169433391163,5.719
adult_original,PNKDIF_noMLP,5,0.6263843999999998,0.008143916306053236,0.38064479999999995,0.012777206314370905,0.64,0.06284902544988269,3.4558
adult_shift,IF,5,0.9925894,0.0007071727511718693,0.8684162000000001,0.009451777330216796,0.998,0.004472135954999583,0.2822
adult_shift,IF_concat,5,0.9555082,0.005542893035229879,0.5129083999999999,0.0338468172994153,0.826,0.06465291950097847,0.2782
adult_shift,DIF,5,0.9860644000000001,0.000584149210390648,0.6661256,0.009772589104224148,0.10600000000000001,0.04827007354458868,2.1602
adult_shift,DIF_concat,5,0.9666338,0.0027442267945634803,0.5386949999999999,0.028033289148795916,0.192,0.06723094525588645,2.258
adult_shift,LOF,5,0.7048694,0.008128455283754716,0.13928159999999998,0.007846731121938611,0.32,0.05385164807134503,5.2372
adult_shift,QCAD,5,0.9931032,0.0005880286557643086,0.9353272,0.0037304384058713396,0.998,0.004472135954999583,3.5784
adult_shift,ROCOD,5,0.9418369999999999,0.0010201433722766648,0.3490244,0.008664947103127648,0.11399999999999999,0.030495901363953807,2.8089999999999997
adult_shift,PNKDIF,5,0.9875308,0.0005304990103666395,0.6735269999999999,0.01063105469838245,0.4,0.06964194138592059,5.1748
adult_shift,PNKDIF_uniform,5,0.9878899999999999,0.0009169449274629395,0.6811752,0.023128735767438714,0.41999999999999993,0.09539392014169458,5.0984
adult_shift,PNKDIF_noMLP,5,0.9963578,0.0007557768850659709,0.9440540000000001,0.013182520149804434,1.0,0.0,3.0157999999999996
adult_swap,IF,5,0.49880559999999996,0.009066509157332835,0.05031,0.0016858227961443636,0.05600000000000001,0.016733200530681516,0.3204
adult_swap,IF_concat,5,0.5027334000000001,0.011146477865227222,0.05097120000000001,0.0022345751721524146,0.06000000000000001,0.026457513110645904,0.2988
adult_swap,DIF,5,0.49842719999999996,0.00857718687566034,0.050029000000000004,0.0015979313189245644,0.046,0.029664793948382652,2.5058
adult_swap,DIF_concat,5,0.507723,0.00940610777633341,0.050839,0.0020482548669538154,0.028000000000000004,0.021679483388678797,2.5762
adult_swap,LOF,5,0.5568236,0.010048314201894787,0.06217919999999999,0.0026232005641963403,0.062,0.01643167672515498,5.7114
adult_swap,QCAD,5,0.541662,0.007673875455074847,0.0627674,0.0030134835821686483,0.158,0.04711687595755898,3.5885999999999996
adult_swap,ROCOD,5,0.524597,0.00860769986697956,0.0532922,0.0017419169612814494,0.048,0.0216794833886788,2.6315999999999997
adult_swap,PNKDIF,5,0.5580617999999999,0.005470955282215342,0.0663182,0.003127662817504469,0.158,0.04438468204234429,4.9832
adult_swap,PNKDIF_uniform,5,0.5575588,0.006651659995820582,0.066308,0.003073656617125602,0.162,0.04604345773288535,5.373
adult_swap,PNKDIF_noMLP,5,0.5487178000000001,0.007713566438425255,0.06426799999999999,0.0029431455111835697,0.162,0.032710854467592254,3.2846
bank_original,IF,5,0.8357762000000001,0.00764745086286927,0.433265,0.012374583649561715,0.646,0.032093613071762415,0.28700000000000003
bank_original,IF_concat,5,0.7994673999999999,0.011404082198932106,0.404477,0.013373745829048796,0.716,0.029664793948382635,0.3182
bank_original,DIF,5,0.8444472,0.014341111365581144,0.391573,0.015917298357447478,0.252,0.027748873851023228,2.2909999999999995
bank_original,DIF_concat,5,0.7929776000000001,0.01147713855017882,0.35833519999999996,0.007566469467327551,0.25,0.057445626465380296,2.1828
bank_original,LOF,5,0.608771,0.0,0.170788,0.0,0.26,0.0,0.8484
bank_original,QCAD,5,0.582721,0.0,0.173666,0.0,0.35,0.0,4.95
bank_original,ROCOD,5,0.747845,0.0,0.321542,0.0,0.49000000000000005,6.206335383118183e-17,3.585400000000001
bank_original,PNKDIF,5,0.825587,0.011828870719557275,0.3637508,0.015731603834320262,0.37,0.06123724356957945,5.3322
bank_original,PNKDIF_uniform,5,0.8180419999999999,0.008767524308492109,0.35546179999999994,0.012532262154136413,0.39599999999999996,0.07021395872616784,5.0108
bank_original,PNKDIF_noMLP,5,0.8274710000000001,0.007410083636505053,0.4098469999999999,0.008560781272757771,0.646,0.03847076812334267,3.556
bank_shift,IF,5,0.9989795999999999,0.00022417470865375178,0.9860344,0.0031826421099457746,1.0,0.0,0.31260000000000004
bank_shift,IF_concat,5,0.9946362000000001,0.0008395943663460464,0.9262382,0.010502157621174842,1.0,0.0,0.34639999999999993
bank_shift,DIF,5,0.9964784,0.00046246870164369676,0.9024006,0.016527340720757212,0.906,0.03049590136395384,2.4524
bank_shift,DIF_concat,5,0.9945316,0.0011766105132965275,0.8509987999999999,0.03272260462891061,0.8240000000000001,0.06693280212272605,2.4962
bank_shift,LOF,5,0.8864525999999999,0.007599245409907481,0.5947212000000001,0.015153878371558873,0.97,0.0,0.9096
bank_shift,QCAD,5,0.9986048000000001,0.00020616910534801937,0.9896398,0.0007767346393717992,1.0,0.0,5.6898
bank_shift,ROCOD,5,0.9354230000000001,0.0005187398191771996,0.3186954,0.008340883334515591,0.446,0.1096813566655701,3.9298
bank_shift,PNKDIF,5,0.9955252,0.0006937738824718101,0.8667286000000001,0.023159414096647585,0.8240000000000001,0.05412947441089743,6.3862000000000005
bank_shift,PNKDIF_uniform,5,0.9958497999999999,0.0004984372578369165,0.8797088000000001,0.015931864570727414,0.8640000000000001,0.016733200530681527,6.0858
bank_shift,PNKDIF_noMLP,5,0.998841,0.0003840429663462273,0.9793884,0.0077143974359634845,0.9960000000000001,0.005477225575051666,4.2172
bank_swap,IF,5,0.5007224,0.009816370958760673,0.04990579999999999,0.0012461746266073633,0.034,0.015165750888103102,0.3858
bank_swap,IF_concat,5,0.512543,0.012624376974726294,0.050835399999999996,0.001565499377195658,0.036000000000000004,0.021908902300206645,0.40540000000000004
bank_swap,DIF,5,0.5009476,0.011744897628332049,0.050218799999999994,0.001609485849580542,0.04,0.017320508075688777,2.7478000000000002
bank_swap,DIF_concat,5,0.5112156,0.011230569500252422,0.05087759999999999,0.0014867245205484425,0.038,0.013038404810405298,2.7646
bank_swap,LOF,5,0.5288539999999999,0.009359197027523258,0.0591218,0.00254808412341508,0.124,0.03577708763999664,0.8804000000000001
