dataset,injection,rate,method,auroc
PaySim,velocity_anomaly,0.1,ROCOD,0.7802344336378819
PaySim,velocity_anomaly,0.1,PNKIF,0.8415643530798704
PaySim,temporal_shift,0.01,IF,0.7605293344907407
PaySim,temporal_shift,0.01,IF_concat,0.829530920138889
PaySim,temporal_shift,0.01,ROCOD,0.5154640914351852
PaySim,temporal_shift,0.01,PNKIF,0.5686628819444446
PaySim,temporal_shift,0.03,IF,0.8385941154452325
PaySim,temporal_shift,0.03,IF_concat,0.8888579550827422
PaySim,temporal_shift,0.03,ROCOD,0.655748620961387
PaySim,temporal_shift,0.03,PNKIF,0.7947125019700552
PaySim,temporal_shift,0.05,IF,0.8747183574879227
PaySim,temporal_shift,0.05,IF_concat,0.9122677460748794
PaySim,temporal_shift,0.05,ROCOD,0.7282120471014493
PaySim,temporal_shift,0.05,PNKIF,0.8464949260265702
PaySim,temporal_shift,0.1,IF,0.9143508154042637
PaySim,temporal_shift,0.1,IF_concat,0.9422813960113959
PaySim,temporal_shift,0.1,ROCOD,0.8081334413989586
PaySim,temporal_shift,0.1,PNKIF,0.8968509490126731
PaySim,context_mismatch,0.01,IF,0.652533744212963
PaySim,context_mismatch,0.01,IF_concat,0.7673615827546296
PaySim,context_mismatch,0.01,ROCOD,0.4609206163194444
PaySim,context_mismatch,0.01,PNKIF,0.5396359346064814
PaySim,context_mismatch,0.03,IF,0.6168069168636722
PaySim,context_mismatch,0.03,IF_concat,0.7678026674546887
PaySim,context_mismatch,0.03,ROCOD,0.540785707249803
PaySim,context_mismatch,0.03,PNKIF,0.6354011918833727
PaySim,context_mismatch,0.05,IF,0.5921002928743961
PaySim,context_mismatch,0.05,IF_concat,0.7595932850241545
PaySim,context_mismatch,0.05,ROCOD,0.5840945274758454
PaySim,context_mismatch,0.05,PNKIF,0.6626520923913043
PaySim,context_mismatch,0.1,IF,0.5640322369584437
PaySim,context_mismatch,0.1,IF_concat,0.7385329050004913
PaySim,context_mismatch,0.1,ROCOD,0.6299017683465958
PaySim,context_mismatch,0.1,PNKIF,0.6875757245308971
CreditCard,none,0.0,IF,0.9468128802882173
CreditCard,none,0.0,IF_concat,0.9461000103595995
CreditCard,none,0.0,ROCOD,0.9118712880398426
CreditCard,none,0.0,PNKIF,0.9259544882964079
CreditCard,velocity_anomaly,0.01,IF,0.9602782394611686
CreditCard,velocity_anomaly,0.01,IF_concat,0.9583600011689063
CreditCard,velocity_anomaly,0.01,ROCOD,0.9061405014953701
CreditCard,velocity_anomaly,0.01,PNKIF,0.9488741323118892
CreditCard,velocity_anomaly,0.03,IF,0.9715550740167528
CreditCard,velocity_anomaly,0.03,IF_concat,0.9696965491928952
CreditCard,velocity_anomaly,0.03,ROCOD,0.9106457993825374
CreditCard,velocity_anomaly,0.03,PNKIF,0.9644057696665509
CreditCard,velocity_anomaly,0.05,IF,0.975375437769358
CreditCard,velocity_anomaly,0.05,IF_concat,0.9732791778367398
CreditCard,velocity_anomaly,0.05,ROCOD,0.9098698421219868
CreditCard,velocity_anomaly,0.05,PNKIF,0.9700949327157244
CreditCard,velocity_anomaly,0.1,IF,0.9785600806758978
CreditCard,velocity_anomaly,0.1,IF_concat,0.9748905256032847
CreditCard,velocity_anomaly,0.1,ROCOD,0.910815108054436
CreditCard,velocity_anomaly,0.1,PNKIF,0.9737390545048882
CreditCard,temporal_shift,0.01,IF,0.9650702363957293
CreditCard,temporal_shift,0.01,IF_concat,0.9651757103007617
CreditCard,temporal_shift,0.01,ROCOD,0.9287834780978784
CreditCard,temporal_shift,0.01,PNKIF,0.9567451338224757
CreditCard,temporal_shift,0.03,IF,0.9803346594232945
CreditCard,temporal_shift,0.03,IF_concat,0.9802648091764381
CreditCard,temporal_shift,0.03,ROCOD,0.9424204295800227
CreditCard,temporal_shift,0.03,PNKIF,0.9740011033004192
CreditCard,temporal_shift,0.05,IF,0.9860505163326829
CreditCard,temporal_shift,0.05,IF_concat,0.9855252307430235
CreditCard,temporal_shift,0.05,ROCOD,0.9471395292681724
CreditCard,temporal_shift,0.05,PNKIF,0.9825190687055564
CreditCard,temporal_shift,0.1,IF,0.9913507729236379
CreditCard,temporal_shift,0.1,IF_concat,0.9905614350402075
CreditCard,temporal_shift,0.1,ROCOD,0.9529763086930811
CreditCard,temporal_shift,0.1,PNKIF,0.9898508863995066
CreditCard,context_mismatch,0.01,IF,0.7727982457414463
CreditCard,context_mismatch,0.01,IF_concat,0.7765747683283118
CreditCard,context_mismatch,0.01,ROCOD,0.785713414963107
CreditCard,context_mismatch,0.01,PNKIF,0.8039601281923592
CreditCard,context_mismatch,0.03,IF,0.6591158640216385
CreditCard,context_mismatch,0.03,IF_concat,0.6677956009411401
CreditCard,context_mismatch,0.03,ROCOD,0.7091216346524725
CreditCard,context_mismatch,0.03,PNKIF,0.7259389303530561
CreditCard,context_mismatch,0.05,IF,0.6082911318940429
CreditCard,context_mismatch,0.05,IF_concat,0.6184130265707216
CreditCard,context_mismatch,0.05,ROCOD,0.6690767999160309
CreditCard,context_mismatch,0.05,PNKIF,0.6831939511831961
CreditCard,context_mismatch,0.1,IF,0.5625369725640759
CreditCard,context_mismatch,0.1,IF_concat,0.5737767649213854
CreditCard,context_mismatch,0.1,ROCOD,0.632286438501524
CreditCard,context_mismatch,0.1,PNKIF,0.6483358046528045
