dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
adult_original,QCAD,1011,30162,5,4,0.2489,0.375379,0.195477,0.120000,4.689,2026-01-31T03:08:49.947534
adult_original,ROCOD,1011,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.036,2026-01-31T03:08:52.998401
adult_original,PNKDIF,1011,30162,5,4,0.2489,0.607200,0.340627,0.330000,4.571,2026-01-31T03:08:57.584570
adult_original,PNKDIF_uniform,1011,30162,5,4,0.2489,0.612214,0.342108,0.380000,4.768,2026-01-31T03:09:02.366489
adult_original,PNKDIF_noMLP,1011,30162,5,4,0.2489,0.636455,0.402653,0.740000,2.659,2026-01-31T03:09:05.038675
adult_shift,IF,42,30162,5,4,0.0500,0.993516,0.875130,1.000000,0.247,2026-01-31T03:09:05.522019
adult_shift,IF_concat,42,30162,5,4,0.0500,0.955915,0.511550,0.820000,0.267,2026-01-31T03:09:05.801125
adult_shift,DIF,42,30162,5,4,0.0500,0.985648,0.654681,0.030000,2.012,2026-01-31T03:09:07.826045
adult_shift,DIF_concat,42,30162,5,4,0.0500,0.961969,0.489918,0.100000,2.028,2026-01-31T03:09:09.868430
adult_shift,LOF,42,30162,5,4,0.0500,0.703752,0.130189,0.270000,4.765,2026-01-31T03:09:14.646757
adult_shift,QCAD,42,30162,5,4,0.0500,0.992256,0.930771,1.000000,3.047,2026-01-31T03:09:17.705178
adult_shift,ROCOD,42,30162,5,4,0.0500,0.942000,0.344038,0.070000,2.384,2026-01-31T03:09:20.103045
adult_shift,PNKDIF,42,30162,5,4,0.0500,0.988204,0.687569,0.400000,4.340,2026-01-31T03:09:24.460221
adult_shift,PNKDIF_uniform,42,30162,5,4,0.0500,0.986840,0.651437,0.270000,5.381,2026-01-31T03:09:29.858725
adult_shift,PNKDIF_noMLP,42,30162,5,4,0.0500,0.995754,0.938212,1.000000,3.056,2026-01-31T03:09:32.928552
adult_shift,IF,123,30162,5,4,0.0500,0.992378,0.856910,0.990000,0.244,2026-01-31T03:09:33.413276
adult_shift,IF_concat,123,30162,5,4,0.0500,0.951490,0.506324,0.840000,0.257,2026-01-31T03:09:33.683279
adult_shift,DIF,123,30162,5,4,0.0500,0.986660,0.677381,0.130000,1.955,2026-01-31T03:09:35.651288
adult_shift,DIF_concat,123,30162,5,4,0.0500,0.967162,0.560631,0.210000,2.110,2026-01-31T03:09:37.773862
adult_shift,LOF,123,30162,5,4,0.0500,0.698299,0.137563,0.320000,6.056,2026-01-31T03:09:43.848398
adult_shift,QCAD,123,30162,5,4,0.0500,0.993748,0.940426,1.000000,4.579,2026-01-31T03:09:48.443476
adult_shift,ROCOD,123,30162,5,4,0.0500,0.941223,0.345529,0.120000,3.381,2026-01-31T03:09:51.842549
adult_shift,PNKDIF,123,30162,5,4,0.0500,0.987791,0.672191,0.430000,6.117,2026-01-31T03:09:57.973417
adult_shift,PNKDIF_uniform,123,30162,5,4,0.0500,0.988465,0.695569,0.460000,5.440,2026-01-31T03:10:03.427423
adult_shift,PNKDIF_noMLP,123,30162,5,4,0.0500,0.996733,0.946883,1.000000,2.881,2026-01-31T03:10:06.321783
adult_shift,IF,456,30162,5,4,0.0500,0.991911,0.866773,1.000000,0.246,2026-01-31T03:10:06.811013
adult_shift,IF_concat,456,30162,5,4,0.0500,0.964868,0.563749,0.860000,0.265,2026-01-31T03:10:07.089254
adult_shift,DIF,456,30162,5,4,0.0500,0.986724,0.673775,0.100000,2.005,2026-01-31T03:10:09.106491
adult_shift,DIF_concat,456,30162,5,4,0.0500,0.966906,0.542967,0.150000,2.113,2026-01-31T03:10:11.232981
adult_shift,LOF,456,30162,5,4,0.0500,0.716683,0.151384,0.290000,4.618,2026-01-31T03:10:15.864195
adult_shift,QCAD,456,30162,5,4,0.0500,0.993292,0.937115,1.000000,3.040,2026-01-31T03:10:18.915349
adult_shift,ROCOD,456,30162,5,4,0.0500,0.940454,0.347110,0.130000,2.420,2026-01-31T03:10:21.347611
