dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_multimodal,DIF_concat,1617,0.967999,0.508545,0.550000,1.133,2026-01-31T02:32:23.939405
syn_multimodal,LOF,1617,0.529970,0.076236,0.200000,0.058,2026-01-31T02:32:23.999135
syn_multimodal,QCAD,1617,0.537585,0.192677,0.280000,0.480,2026-01-31T02:32:24.481380
syn_multimodal,ROCOD,1617,0.740378,0.436159,0.930000,0.400,2026-01-31T02:32:24.883656
syn_multimodal,PNKDIF,1617,0.880176,0.515472,0.920000,1.535,2026-01-31T02:32:26.420913
syn_multimodal,PNKDIF_uniform,1617,0.880985,0.514119,0.920000,1.488,2026-01-31T02:32:27.911026
syn_multimodal,PNKDIF_noMLP,1617,0.873814,0.510681,0.920000,0.574,2026-01-31T02:32:28.487392
syn_multimodal,IF,1819,0.510447,0.050266,0.040000,0.265,2026-01-31T02:32:28.755005
syn_multimodal,IF_concat,1819,0.979711,0.633751,0.630000,0.323,2026-01-31T02:32:29.080288
syn_multimodal,DIF,1819,0.513458,0.050787,0.070000,1.603,2026-01-31T02:32:30.686000
syn_multimodal,DIF_concat,1819,0.972447,0.508400,0.430000,1.715,2026-01-31T02:32:32.403533
syn_multimodal,LOF,1819,0.567718,0.107955,0.390000,0.086,2026-01-31T02:32:32.492615
syn_multimodal,QCAD,1819,0.516408,0.208080,0.500000,0.835,2026-01-31T02:32:33.330745
syn_multimodal,ROCOD,1819,0.626727,0.469783,0.940000,0.641,2026-01-31T02:32:33.974479
syn_multimodal,PNKDIF,1819,0.860654,0.513094,0.950000,2.245,2026-01-31T02:32:36.221423
syn_multimodal,PNKDIF_uniform,1819,0.870906,0.519991,0.940000,2.246,2026-01-31T02:32:38.469388
syn_multimodal,PNKDIF_noMLP,1819,0.818012,0.497974,0.950000,0.876,2026-01-31T02:32:39.347841
syn_multimodal,IF,2021,0.511658,0.052522,0.030000,0.297,2026-01-31T02:32:39.649400
syn_multimodal,IF_concat,2021,0.982368,0.747293,0.930000,0.269,2026-01-31T02:32:39.920879
syn_multimodal,DIF,2021,0.501471,0.051827,0.030000,1.621,2026-01-31T02:32:41.543669
syn_multimodal,DIF_concat,2021,0.969141,0.510698,0.460000,1.609,2026-01-31T02:32:43.155387
syn_multimodal,LOF,2021,0.573010,0.082429,0.190000,0.087,2026-01-31T02:32:43.244592
syn_multimodal,QCAD,2021,0.537566,0.185127,0.320000,0.803,2026-01-31T02:32:44.049973
syn_multimodal,ROCOD,2021,0.726890,0.177231,0.510000,0.637,2026-01-31T02:32:44.688955
syn_multimodal,PNKDIF,2021,0.884569,0.525478,0.960000,2.286,2026-01-31T02:32:46.977942
syn_multimodal,PNKDIF_uniform,2021,0.879711,0.520546,0.940000,2.171,2026-01-31T02:32:49.152181
syn_multimodal,PNKDIF_noMLP,2021,0.854590,0.502813,0.940000,0.927,2026-01-31T02:32:50.081763
