dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_linear,QCAD,1213,0.990349,0.798824,0.950000,0.174,2026-01-31T02:29:44.060090
syn_linear,ROCOD,1213,0.999884,0.998513,1.000000,0.117,2026-01-31T02:29:44.178924
syn_linear,PNKDIF,1213,0.999701,0.996476,1.000000,1.294,2026-01-31T02:29:45.475389
syn_linear,PNKDIF_uniform,1213,0.999710,0.996592,1.000000,1.193,2026-01-31T02:29:46.670613
syn_linear,PNKDIF_noMLP,1213,0.999711,0.996621,1.000000,0.277,2026-01-31T02:29:46.949109
syn_linear,IF,1415,0.659120,0.428056,1.000000,0.182,2026-01-31T02:29:47.133782
syn_linear,IF_concat,1415,0.983643,0.784578,1.000000,0.182,2026-01-31T02:29:47.317666
syn_linear,DIF,1415,0.653540,0.427866,1.000000,1.179,2026-01-31T02:29:48.498270
syn_linear,DIF_concat,1415,0.996450,0.936253,1.000000,1.112,2026-01-31T02:29:49.612673
syn_linear,LOF,1415,0.565605,0.121498,0.350000,0.043,2026-01-31T02:29:49.657327
syn_linear,QCAD,1415,0.990603,0.802076,0.920000,0.165,2026-01-31T02:29:49.823693
syn_linear,ROCOD,1415,0.999984,0.999707,1.000000,0.107,2026-01-31T02:29:49.932103
syn_linear,PNKDIF,1415,0.999916,0.998411,1.000000,1.223,2026-01-31T02:29:51.156953
syn_linear,PNKDIF_uniform,1415,0.999817,0.996288,1.000000,1.160,2026-01-31T02:29:52.318827
syn_linear,PNKDIF_noMLP,1415,0.999903,0.998115,1.000000,0.266,2026-01-31T02:29:52.586578
syn_linear,IF,1617,0.644436,0.370630,0.990000,0.177,2026-01-31T02:29:52.766569
syn_linear,IF_concat,1617,0.983855,0.781568,0.940000,0.175,2026-01-31T02:29:52.943590
syn_linear,DIF,1617,0.654743,0.373218,1.000000,1.145,2026-01-31T02:29:54.090406
syn_linear,DIF_concat,1617,0.992135,0.877010,1.000000,1.090,2026-01-31T02:29:55.182242
syn_linear,LOF,1617,0.556428,0.133922,0.460000,0.043,2026-01-31T02:29:55.226915
syn_linear,QCAD,1617,0.990172,0.790735,0.920000,0.167,2026-01-31T02:29:55.395638
syn_linear,ROCOD,1617,0.999931,0.998813,1.000000,0.108,2026-01-31T02:29:55.505614
syn_linear,PNKDIF,1617,0.999629,0.993082,1.000000,1.161,2026-01-31T02:29:56.668919
syn_linear,PNKDIF_uniform,1617,0.999696,0.994736,1.000000,1.140,2026-01-31T02:29:57.810554
syn_linear,PNKDIF_noMLP,1617,0.999691,0.994651,1.000000,0.273,2026-01-31T02:29:58.085161
syn_linear,IF,1819,0.634087,0.371306,1.000000,0.188,2026-01-31T02:29:58.275569
syn_linear,IF_concat,1819,0.977460,0.740492,1.000000,0.184,2026-01-31T02:29:58.460952
syn_linear,DIF,1819,0.634943,0.371296,1.000000,1.174,2026-01-31T02:29:59.636229
syn_linear,DIF_concat,1819,0.991445,0.867108,1.000000,1.098,2026-01-31T02:30:00.736322
syn_linear,LOF,1819,0.573206,0.142251,0.410000,0.043,2026-01-31T02:30:00.780853
syn_linear,QCAD,1819,0.989040,0.783631,0.900000,0.168,2026-01-31T02:30:00.950935
syn_linear,ROCOD,1819,0.999966,0.999389,1.000000,0.107,2026-01-31T02:30:01.059898
syn_linear,PNKDIF,1819,0.999750,0.995458,1.000000,1.247,2026-01-31T02:30:02.308490
syn_linear,PNKDIF_uniform,1819,0.999839,0.997070,1.000000,1.191,2026-01-31T02:30:03.501805
syn_linear,PNKDIF_noMLP,1819,0.999690,0.994194,1.000000,0.269,2026-01-31T02:30:03.772020
syn_linear,IF,2021,0.682308,0.411085,1.000000,0.179,2026-01-31T02:30:03.954047
syn_linear,IF_concat,2021,0.982797,0.783593,0.990000,0.179,2026-01-31T02:30:04.134925
syn_linear,DIF,2021,0.679914,0.413159,1.000000,1.154,2026-01-31T02:30:05.290501
syn_linear,DIF_concat,2021,0.993285,0.880857,1.000000,1.126,2026-01-31T02:30:06.418029
syn_linear,LOF,2021,0.601412,0.153102,0.380000,0.044,2026-01-31T02:30:06.464149
syn_linear,QCAD,2021,0.989860,0.784023,0.910000,0.170,2026-01-31T02:30:06.636318
syn_linear,ROCOD,2021,0.999990,0.999805,1.000000,0.114,2026-01-31T02:30:06.752253
syn_linear,PNKDIF,2021,0.999771,0.995853,1.000000,1.219,2026-01-31T02:30:07.973823
syn_linear,PNKDIF_uniform,2021,0.999752,0.995449,1.000000,1.172,2026-01-31T02:30:09.146901
syn_linear,PNKDIF_noMLP,2021,0.999733,0.994990,1.000000,0.279,2026-01-31T02:30:09.428098
syn_scale,IF,42,0.962367,0.777268,1.000000,0.192,2026-01-31T02:30:09.623137
syn_scale,IF_concat,42,0.992938,0.901331,0.990000,0.177,2026-01-31T02:30:09.801682
syn_scale,DIF,42,0.963120,0.778930,1.000000,1.112,2026-01-31T02:30:10.915068
syn_scale,DIF_concat,42,0.987898,0.850567,1.000000,1.114,2026-01-31T02:30:12.031342
syn_scale,LOF,42,0.613729,0.147335,0.370000,0.044,2026-01-31T02:30:12.077017
syn_scale,QCAD,42,0.989178,0.789476,0.930000,0.177,2026-01-31T02:30:12.255502
syn_scale,ROCOD,42,0.998987,0.986957,1.000000,0.112,2026-01-31T02:30:12.368854
syn_scale,PNKDIF,42,0.998872,0.984551,1.000000,1.302,2026-01-31T02:30:13.672707
syn_scale,PNKDIF_uniform,42,0.998864,0.984171,1.000000,1.272,2026-01-31T02:30:14.946139
syn_scale,PNKDIF_noMLP,42,0.998876,0.984067,1.000000,0.295,2026-01-31T02:30:15.242676
syn_scale,IF,123,0.969173,0.796697,1.000000,0.185,2026-01-31T02:30:15.431015
syn_scale,IF_concat,123,0.993127,0.892102,1.000000,0.243,2026-01-31T02:30:15.676600
syn_scale,DIF,123,0.969217,0.796957,1.000000,1.212,2026-01-31T02:30:16.890452
syn_scale,DIF_concat,123,0.988661,0.863831,1.000000,1.116,2026-01-31T02:30:18.008692
syn_scale,LOF,123,0.634656,0.190341,0.580000,0.044,2026-01-31T02:30:18.054386
syn_scale,QCAD,123,0.991219,0.811427,0.910000,0.171,2026-01-31T02:30:18.226648
syn_scale,ROCOD,123,0.999271,0.988102,1.000000,0.110,2026-01-31T02:30:18.338282
syn_scale,PNKDIF,123,0.998885,0.982751,1.000000,1.197,2026-01-31T02:30:19.537401
syn_scale,PNKDIF_uniform,123,0.998878,0.982243,1.000000,1.268,2026-01-31T02:30:20.807866
syn_scale,PNKDIF_noMLP,123,0.998785,0.980236,1.000000,0.296,2026-01-31T02:30:21.105800
syn_scale,IF,456,0.964527,0.781281,1.000000,0.183,2026-01-31T02:30:21.291715
syn_scale,IF_concat,456,0.991032,0.862746,1.000000,0.179,2026-01-31T02:30:21.472238
