dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_highdim_context,PNKDIF,789,10000,20,3,0.05,0.912695,0.430438,0.49,1.614,2026-01-31T03:56:50.792342
syn_highdim_context,PNKDIF_uniform,789,10000,20,3,0.05,0.9119,0.426301,0.52,1.571,2026-01-31T03:56:52.370535
syn_highdim_context,PNKDIF_noMLP,789,10000,20,3,0.05,0.904603,0.416009,0.54,0.481,2026-01-31T03:56:52.859164
syn_highdim_context,PNKDIF_single,789,10000,20,3,0.05,0.914271,0.45094,0.57,0.512,2026-01-31T03:56:53.379629
syn_highdim_context,PNKDIF_global,789,10000,20,3,0.05,0.842399,0.268651,0.37,1.269,2026-01-31T03:56:54.656187
syn_highdim_context,IF,1011,10000,20,3,0.05,0.845854,0.265104,0.43,0.188,2026-01-31T03:56:55.126110
syn_highdim_context,IF_concat,1011,10000,20,3,0.05,0.584163,0.069232,0.07,0.193,2026-01-31T03:56:55.328662
syn_highdim_context,DIF,1011,10000,20,3,0.05,0.866153,0.298767,0.33,1.267,2026-01-31T03:56:56.603439
syn_highdim_context,DIF_concat,1011,10000,20,3,0.05,0.658331,0.110107,0.2,1.268,2026-01-31T03:56:57.880980
syn_highdim_context,LOF,1011,10000,20,3,0.05,0.741756,0.160915,0.34,0.105,2026-01-31T03:56:57.997055
syn_highdim_context,QCAD,1011,10000,20,3,0.05,0.796522,0.206265,0.46,0.451,2026-01-31T03:56:58.455517
syn_highdim_context,ROCOD,1011,10000,20,3,0.05,0.864947,0.296178,0.54,0.303,2026-01-31T03:56:58.765895
syn_highdim_context,PNKDIF,1011,10000,20,3,0.05,0.923627,0.454464,0.55,1.503,2026-01-31T03:57:00.277027
syn_highdim_context,PNKDIF_uniform,1011,10000,20,3,0.05,0.925392,0.453068,0.5,1.574,2026-01-31T03:57:01.858697
syn_highdim_context,PNKDIF_noMLP,1011,10000,20,3,0.05,0.91967,0.432198,0.51,0.496,2026-01-31T03:57:02.362810
syn_highdim_context,PNKDIF_single,1011,10000,20,3,0.05,0.919448,0.468786,0.62,0.466,2026-01-31T03:57:02.836548
syn_highdim_context,PNKDIF_global,1011,10000,20,3,0.05,0.860248,0.300103,0.43,1.198,2026-01-31T03:57:04.044144
syn_highdim_context,IF,1213,10000,20,3,0.05,0.840575,0.283053,0.47,0.182,2026-01-31T03:57:04.491975
syn_highdim_context,IF_concat,1213,10000,20,3,0.05,0.601891,0.073565,0.12,0.192,2026-01-31T03:57:04.691669
syn_highdim_context,DIF,1213,10000,20,3,0.05,0.856805,0.306581,0.46,1.211,2026-01-31T03:57:05.910769
syn_highdim_context,DIF_concat,1213,10000,20,3,0.05,0.685376,0.119788,0.28,1.184,2026-01-31T03:57:07.102816
syn_highdim_context,LOF,1213,10000,20,3,0.05,0.765476,0.194156,0.37,0.104,2026-01-31T03:57:07.216118
syn_highdim_context,QCAD,1213,10000,20,3,0.05,0.801624,0.21759,0.52,0.434,2026-01-31T03:57:07.657131
syn_highdim_context,ROCOD,1213,10000,20,3,0.05,0.859919,0.313114,0.59,0.287,2026-01-31T03:57:07.953315
syn_highdim_context,PNKDIF,1213,10000,20,3,0.05,0.924338,0.458838,0.54,1.556,2026-01-31T03:57:09.517082
syn_highdim_context,PNKDIF_uniform,1213,10000,20,3,0.05,0.924901,0.455199,0.56,1.537,2026-01-31T03:57:11.061600
syn_highdim_context,PNKDIF_noMLP,1213,10000,20,3,0.05,0.911655,0.440502,0.62,0.466,2026-01-31T03:57:11.535967
syn_highdim_context,PNKDIF_single,1213,10000,20,3,0.05,0.924984,0.426814,0.43,0.471,2026-01-31T03:57:12.014917
syn_highdim_context,PNKDIF_global,1213,10000,20,3,0.05,0.855782,0.293162,0.44,1.217,2026-01-31T03:57:13.242300
syn_highdim_context,IF,1415,10000,20,3,0.05,0.863424,0.262414,0.37,0.193,2026-01-31T03:57:13.712314
syn_highdim_context,IF_concat,1415,10000,20,3,0.05,0.617812,0.07703,0.09,0.181,2026-01-31T03:57:13.900858
syn_highdim_context,DIF,1415,10000,20,3,0.05,0.877449,0.287277,0.33,1.203,2026-01-31T03:57:15.114046
syn_highdim_context,DIF_concat,1415,10000,20,3,0.05,0.696893,0.119884,0.23,1.234,2026-01-31T03:57:16.355920
syn_highdim_context,LOF,1415,10000,20,3,0.05,0.780478,0.201442,0.4,0.108,2026-01-31T03:57:16.473115
syn_highdim_context,QCAD,1415,10000,20,3,0.05,0.800584,0.193839,0.47,0.426,2026-01-31T03:57:16.908072
syn_highdim_context,ROCOD,1415,10000,20,3,0.05,0.879799,0.286696,0.45,0.289,2026-01-31T03:57:17.205391
syn_highdim_context,PNKDIF,1415,10000,20,3,0.05,0.934563,0.427672,0.43,1.503,2026-01-31T03:57:18.717308
syn_highdim_context,PNKDIF_uniform,1415,10000,20,3,0.05,0.933575,0.443363,0.5,1.395,2026-01-31T03:57:20.120271
syn_highdim_context,PNKDIF_noMLP,1415,10000,20,3,0.05,0.930658,0.420091,0.46,0.458,2026-01-31T03:57:20.587629
syn_highdim_context,PNKDIF_single,1415,10000,20,3,0.05,0.934726,0.449886,0.56,0.465,2026-01-31T03:57:21.060641
syn_highdim_context,PNKDIF_global,1415,10000,20,3,0.05,0.872099,0.287556,0.37,1.215,2026-01-31T03:57:22.284413
syn_highdim_context,IF,1617,10000,20,3,0.05,0.841832,0.258487,0.4,0.184,2026-01-31T03:57:22.748965
syn_highdim_context,IF_concat,1617,10000,20,3,0.05,0.594843,0.070471,0.09,0.182,2026-01-31T03:57:22.938347
syn_highdim_context,DIF,1617,10000,20,3,0.05,0.869572,0.301696,0.36,1.226,2026-01-31T03:57:24.172035
syn_highdim_context,DIF_concat,1617,10000,20,3,0.05,0.678956,0.118548,0.2,1.21,2026-01-31T03:57:25.388771
syn_highdim_context,LOF,1617,10000,20,3,0.05,0.767573,0.177817,0.35,0.102,2026-01-31T03:57:25.500544
syn_highdim_context,QCAD,1617,10000,20,3,0.05,0.810716,0.223541,0.53,0.422,2026-01-31T03:57:25.931286
syn_highdim_context,ROCOD,1617,10000,20,3,0.05,0.876958,0.306754,0.52,0.296,2026-01-31T03:57:26.237108
syn_highdim_context,PNKDIF,1617,10000,20,3,0.05,0.931204,0.471454,0.58,1.444,2026-01-31T03:57:27.689390
syn_highdim_context,PNKDIF_uniform,1617,10000,20,3,0.05,0.93196,0.463074,0.55,1.442,2026-01-31T03:57:29.139357
syn_highdim_context,PNKDIF_noMLP,1617,10000,20,3,0.05,0.924733,0.448697,0.57,0.462,2026-01-31T03:57:29.608418
syn_highdim_context,PNKDIF_single,1617,10000,20,3,0.05,0.917359,0.442557,0.56,0.447,2026-01-31T03:57:30.063620
syn_highdim_context,PNKDIF_global,1617,10000,20,3,0.05,0.865653,0.297952,0.42,1.199,2026-01-31T03:57:31.271049
syn_highdim_context,IF,1819,10000,20,3,0.05,0.835093,0.230589,0.39,0.181,2026-01-31T03:57:31.718634
syn_highdim_context,IF_concat,1819,10000,20,3,0.05,0.607573,0.067036,0.05,0.179,2026-01-31T03:57:31.905297
syn_highdim_context,DIF,1819,10000,20,3,0.05,0.864228,0.270629,0.34,1.192,2026-01-31T03:57:33.105676
syn_highdim_context,DIF_concat,1819,10000,20,3,0.05,0.691117,0.108715,0.22,1.207,2026-01-31T03:57:34.320545
syn_highdim_context,LOF,1819,10000,20,3,0.05,0.77222,0.191481,0.4,0.105,2026-01-31T03:57:34.435646
syn_highdim_context,QCAD,1819,10000,20,3,0.05,0.800443,0.185099,0.41,0.434,2026-01-31T03:57:34.877212
syn_highdim_context,ROCOD,1819,10000,20,3,0.05,0.860383,0.282083,0.51,0.273,2026-01-31T03:57:35.158249
syn_highdim_context,PNKDIF,1819,10000,20,3,0.05,0.922201,0.433908,0.47,1.579,2026-01-31T03:57:36.745437
syn_highdim_context,PNKDIF_uniform,1819,10000,20,3,0.05,0.921288,0.4375,0.53,1.412,2026-01-31T03:57:38.167292
syn_highdim_context,PNKDIF_noMLP,1819,10000,20,3,0.05,0.908845,0.390193,0.5,0.465,2026-01-31T03:57:38.640020
syn_highdim_context,PNKDIF_single,1819,10000,20,3,0.05,0.918602,0.42126,0.48,0.473,2026-01-31T03:57:39.121495
syn_highdim_context,PNKDIF_global,1819,10000,20,3,0.05,0.85961,0.267071,0.38,1.21,2026-01-31T03:57:40.338633
syn_highdim_context,IF,2021,10000,20,3,0.05,0.820592,0.256534,0.46,0.196,2026-01-31T03:57:40.808418
syn_highdim_context,IF_concat,2021,10000,20,3,0.05,0.574724,0.06633,0.06,0.194,2026-01-31T03:57:41.010967
syn_highdim_context,DIF,2021,10000,20,3,0.05,0.846881,0.274742,0.39,1.204,2026-01-31T03:57:42.223573
syn_highdim_context,DIF_concat,2021,10000,20,3,0.05,0.671084,0.119469,0.3,1.231,2026-01-31T03:57:43.462464
syn_highdim_context,LOF,2021,10000,20,3,0.05,0.747183,0.167317,0.36,0.106,2026-01-31T03:57:43.578354
syn_highdim_context,QCAD,2021,10000,20,3,0.05,0.802912,0.213387,0.48,0.464,2026-01-31T03:57:44.052046
